"user_id","order_id","trade_amt","symbol_id","country","language","device_create_date","imei_level_1_user_source","imei_level_2_user_source","imei_level_3_user_source","lifecycle_tag","dt","target","new_future"
"bg3233063415","bg1173869021586149377","250.536","BTCUSDT_UMCBL","孟加拉国","en","2023-12-23","邀请","invite_code","2wzuZP","3-成熟","2024-05-13","1","1"
"bg3233063415","bg1173826461907963919","187.8225","BTCUSDT_UMCBL","孟加拉国","en","2023-12-23","邀请","invite_code","2wzuZP","3-成熟","2024-05-13","1","1"
"bg3233063415","bg1173629317125132302","183.7869","BTCUSDT_UMCBL","孟加拉国","en","2023-12-23","邀请","invite_code","2wzuZP","3-成熟","2024-05-13","1","1"
"bg6636909381","bg1173923108058992644","188.5896","BTCUSDT_UMCBL","孟加拉国","en","2023-12-23","邀请","invite_code","2wzuZP","3-成熟","2024-05-13","1","1"
"bg9771000925","bg1173521737497821185","119.561","TONUSDT_UMCBL","印度","en","2024-01-19","运营活动","ARB ID","地址收集","1-导入","2024-05-12","0","1"
"bg5790741911","bg1173657560989446174","489.4","BTCUSDT_UMCBL","孟加拉国","en","2024-05-09","其他","unknown","unknown","1-导入","2024-05-13","1","1"
"bg5790741911","bg1173607106498670593","491.6944","BTCUSDT_UMCBL","孟加拉国","en","2024-05-09","其他","unknown","unknown","1-导入","2024-05-13","1","1"
"bg2561943420","bg1173868559604551681","250.5048","BTCUSDT_UMCBL","孟加拉国","en","2023-12-23","邀请","invite_code","2wzuZP","3-成熟","2024-05-13","1","0"
"bg2561943420","bg1173823491006959622","62.5569","BTCUSDT_UMCBL","孟加拉国","en","2023-12-23","邀请","invite_code","2wzuZP","3-成熟","2024-05-13","1","0"
"bg2561943420","bg1173823491006959622","125.1138","BTCUSDT_UMCBL","孟加拉国","en","2023-12-23","邀请","invite_code","2wzuZP","3-成熟","2024-05-13","1","0"
"bg2561943420","bg1173556339809095686","183.6309","BTCUSDT_UMCBL","孟加拉国","en","2023-12-23","邀请","invite_code","2wzuZP","3-成熟","2024-05-12","0","1"
"bg3011612383","bg1173608349141417988","491.6656","BTCUSDT_UMCBL","孟加拉国","en","2024-05-13","其他","unknown","unknown","1-导入","2024-05-13","1","1"
"bg3011612383","bg1173663113002729476","489.152","BTCUSDT_UMCBL","孟加拉国","en","2024-05-13","其他","unknown","unknown","1-导入","2024-05-13","1","1"
"bg3358468639","bg1173751480142901298","83.0055","SOLUSDT_UMCBL","印度","en","2024-05-12","其他","unknown","unknown","1-导入","2024-05-13","1","0"
"bg3358468639","bg1173493228075331585","87.0147","SOLUSDT_UMCBL","印度","en","2024-05-12","其他","unknown","unknown","1-导入","2024-05-12","0","1"
"bg9235678324","bg1173862056030482432","249.9796","BTCUSDT_UMCBL","孟加拉国","en","2023-12-23","邀请","invite_code","2wzuZP","3-成熟","2024-05-13","1","0"
"bg2134520465","bg1173751437088743426","47.412","LTCUSDT_UMCBL","印度尼西亚","id","2022-10-30","其他","unknown","unknown","2-成长","2024-05-13","1","0"
"bg5481388451","bg1173751416594534403","83.10636","SOLUSDT_UMCBL","印度","en","2024-05-12","其他","unknown","unknown","1-导入","2024-05-13","1","0"
"bg5481388451","bg1173508889807327244","87.13746","SOLUSDT_UMCBL","印度","en","2024-05-12","其他","unknown","unknown","1-导入","2024-05-12","0","1"
"bg7841120103","bg1173455849511350273","5.072436","DOGEUSDT_UMCBL","马来西亚","en","2024-04-25","运营活动","GetDrop第1期- Social Media","地址收集","3-成熟","2024-05-12","0","0"
"bg7841120103","bg1173226810196520961","5.08011","DOGEUSDT_UMCBL","马来西亚","en","2024-04-25","运营活动","GetDrop第1期- Social Media","地址收集","3-成熟","2024-05-12","0","0"
"bg7841120103","bg1173226417181847572","5.07353","DOGEUSDT_UMCBL","马来西亚","en","2024-04-25","运营活动","GetDrop第1期- Social Media","地址收集","3-成熟","2024-05-12","0","0"
"bg7841120103","bg1173722824003186691","5.209341","DOGEUSDT_UMCBL","马来西亚","en","2024-04-25","运营活动","GetDrop第1期- Social Media","地址收集","3-成熟","2024-05-13","1","0"
"bg7841120103","bg1173582730021728266","10.584664","DOGEUSDT_UMCBL","马来西亚","en","2024-04-25","运营活动","GetDrop第1期- Social Media","地址收集","3-成熟","2024-05-13","1","0"
"bg7841120103","bg1173727439411113986","5.207195","DOGEUSDT_UMCBL","马来西亚","en","2024-04-25","运营活动","GetDrop第1期- Social Media","地址收集","3-成熟","2024-05-13","1","0"
"bg7841120103","bg1173663269063913475","5.200831","DOGEUSDT_UMCBL","马来西亚","en","2024-04-25","运营活动","GetDrop第1期- Social Media","地址收集","3-成熟","2024-05-13","1","0"
"bg7841120103","bg1173837253030080517","5.198904","DOGEUSDT_UMCBL","马来西亚","en","2024-04-25","运营活动","GetDrop第1期- Social Media","地址收集","3-成熟","2024-05-13","1","0"
"bg7841120103","bg1173685020401496066","5.208971","DOGEUSDT_UMCBL","马来西亚","en","2024-04-25","运营活动","GetDrop第1期- Social Media","地址收集","3-成熟","2024-05-13","1","0"
"bg7841120103","bg1173717144500334596","5.392428","DOGEUSDT_UMCBL","马来西亚","en","2024-04-25","运营活动","GetDrop第1期- Social Media","地址收集","3-成熟","2024-05-13","1","0"
"bg7841120103","bg1173235097994424321","5.05232","DOGEUSDT_UMCBL","马来西亚","en","2024-04-25","运营活动","GetDrop第1期- Social Media","地址收集","3-成熟","2024-05-12","0","0"
"bg7841120103","bg1173717091656298502","5.392694","DOGEUSDT_UMCBL","马来西亚","en","2024-04-25","运营活动","GetDrop第1期- Social Media","地址收集","3-成熟","2024-05-13","1","0"
"bg7841120103","bg1173832367332814848","5.3968","MATICUSDT_UMCBL","马来西亚","en","2024-04-25","运营活动","GetDrop第1期- Social Media","地址收集","3-成熟","2024-05-13","1","0"
