node_index,split_feature_indx,split_feature,threshold,decision_type,left_child,right_child,leaf_value,thres_vis,condition,conditions,2024-05-12,2024-05-13,ratio
0,4,country,6||10||11||17||19||25||27||28||32||36||39||42||49||50||53||57||59||66||69||95||98||109||116||117||119||121||123||138||144||148||153||155,==,1,2,,"['乌干达', '伊拉克', '伊朗', '利比亚', '加纳', '卢旺达', '印度', '印度尼西亚', '古巴', '哈萨克斯坦', '喀麦隆', '埃及', '墨西哥', '多哥', '委内瑞拉', '尼日利亚', '尼泊尔', '巴西', '希腊', '波兰', '泰国', '瑞士', '突尼斯', '立陶宛', '约旦', '缅甸', '美国', '西班牙', '阿尔及利亚', '阿联酋', '马来西亚', '马达加斯加']","country in [""乌干达"", ""伊拉克"", ""伊朗"", ""利比亚"", ""加纳"", ""卢旺达"", ""印度"", ""印度尼西亚"", ""古巴"", ""哈萨克斯坦"", ""喀麦隆"", ""埃及"", ""墨西哥"", ""多哥"", ""委内瑞拉"", ""尼日利亚"", ""尼泊尔"", ""巴西"", ""希腊"", ""波兰"", ""泰国"", ""瑞士"", ""突尼斯"", ""立陶宛"", ""约旦"", ""缅甸"", ""美国"", ""西班牙"", ""阿尔及利亚"", ""阿联酋"", ""马来西亚"", ""马达加斯加""]",,5879,5165,1.0
1,15,future_total_trade,169.94259000000002,<=,3,4,,,future_total_trade <= 169.94259000000002,"country in [""乌干达"", ""伊拉克"", ""伊朗"", ""利比亚"", ""加纳"", ""卢旺达"", ""印度"", ""印度尼西亚"", ""古巴"", ""哈萨克斯坦"", ""喀麦隆"", ""埃及"", ""墨西哥"", ""多哥"", ""委内瑞拉"", ""尼日利亚"", ""尼泊尔"", ""巴西"", ""希腊"", ""波兰"", ""泰国"", ""瑞士"", ""突尼斯"", ""立陶宛"", ""约旦"", ""缅甸"", ""美国"", ""西班牙"", ""阿尔及利亚"", ""阿联酋"", ""马来西亚"", ""马达加斯加""]",3246,2428,1.145658263305322
2,19,level_2_user_source,4||15||21||46||54,==,5,6,,"['BitgetSwap', 'GetDrop第1期- FOMO', 'GetDrop第2期-UXLINK', 'invite_code', '第10期 - BWB空投末班车']","level_2_user_source in [""BitgetSwap"", ""GetDrop第1期- FOMO"", ""GetDrop第2期-UXLINK"", ""invite_code"", ""第10期 - BWB空投末班车""]","~(country in [""乌干达"", ""伊拉克"", ""伊朗"", ""利比亚"", ""加纳"", ""卢旺达"", ""印度"", ""印度尼西亚"", ""古巴"", ""哈萨克斯坦"", ""喀麦隆"", ""埃及"", ""墨西哥"", ""多哥"", ""委内瑞拉"", ""尼日利亚"", ""尼泊尔"", ""巴西"", ""希腊"", ""波兰"", ""泰国"", ""瑞士"", ""突尼斯"", ""立陶宛"", ""约旦"", ""缅甸"", ""美国"", ""西班牙"", ""阿尔及利亚"", ""阿联酋"", ""马来西亚"", ""马达加斯加""])",2633,2737,-0.14565826330532214
3,15,future_total_trade,1.0000000180025095e-35,<=,7,8,,,future_total_trade <= 1.0000000180025095e-35,"country in [""乌干达"", ""伊拉克"", ""伊朗"", ""利比亚"", ""加纳"", ""卢旺达"", ""印度"", ""印度尼西亚"", ""古巴"", ""哈萨克斯坦"", ""喀麦隆"", ""埃及"", ""墨西哥"", ""多哥"", ""委内瑞拉"", ""尼日利亚"", ""尼泊尔"", ""巴西"", ""希腊"", ""波兰"", ""泰国"", ""瑞士"", ""突尼斯"", ""立陶宛"", ""约旦"", ""缅甸"", ""美国"", ""西班牙"", ""阿尔及利亚"", ""阿联酋"", ""马来西亚"", ""马达加斯加""] & future_total_trade <= 169.94259000000002",3193,2428,1.0714285714285714
4.0,,,,,,,-0.688366027505443,,,"country in [""乌干达"", ""伊拉克"", ""伊朗"", ""利比亚"", ""加纳"", ""卢旺达"", ""印度"", ""印度尼西亚"", ""古巴"", ""哈萨克斯坦"", ""喀麦隆"", ""埃及"", ""墨西哥"", ""多哥"", ""委内瑞拉"", ""尼日利亚"", ""尼泊尔"", ""巴西"", ""希腊"", ""波兰"", ""泰国"", ""瑞士"", ""突尼斯"", ""立陶宛"", ""约旦"", ""缅甸"", ""美国"", ""西班牙"", ""阿尔及利亚"", ""阿联酋"", ""马来西亚"", ""马达加斯加""] & ~(future_total_trade <= 169.94259000000002)",53,0,0.0742296918767507
5,14,total_trade,14.407866,<=,11,12,,,total_trade <= 14.407866,"~(country in [""乌干达"", ""伊拉克"", ""伊朗"", ""利比亚"", ""加纳"", ""卢旺达"", ""印度"", ""印度尼西亚"", ""古巴"", ""哈萨克斯坦"", ""喀麦隆"", ""埃及"", ""墨西哥"", ""多哥"", ""委内瑞拉"", ""尼日利亚"", ""尼泊尔"", ""巴西"", ""希腊"", ""波兰"", ""泰国"", ""瑞士"", ""突尼斯"", ""立陶宛"", ""约旦"", ""缅甸"", ""美国"", ""西班牙"", ""阿尔及利亚"", ""阿联酋"", ""马来西亚"", ""马达加斯加""]) & level_2_user_source in [""BitgetSwap"", ""GetDrop第1期- FOMO"", ""GetDrop第2期-UXLINK"", ""invite_code"", ""第10期 - BWB空投末班车""]",162,67,0.1330532212885154
6,4,country,4||7||9||12||22||33||37||43||52||70||74||82||89||92||124||126||129||136||149,==,13,14,,"['乌克兰', '也门', '以色列', '俄罗斯联邦', '南非', '台湾', '哥伦比亚', '埃塞俄比亚', '奥地利', '德国', '捷克', '新加坡', '比利时', '沙特阿拉伯', '老挝', '芬兰', '英国', '葡萄牙', '韩国']","country in [""乌克兰"", ""也门"", ""以色列"", ""俄罗斯联邦"", ""南非"", ""台湾"", ""哥伦比亚"", ""埃塞俄比亚"", ""奥地利"", ""德国"", ""捷克"", ""新加坡"", ""比利时"", ""沙特阿拉伯"", ""老挝"", ""芬兰"", ""英国"", ""葡萄牙"", ""韩国""]","~(country in [""乌干达"", ""伊拉克"", ""伊朗"", ""利比亚"", ""加纳"", ""卢旺达"", ""印度"", ""印度尼西亚"", ""古巴"", ""哈萨克斯坦"", ""喀麦隆"", ""埃及"", ""墨西哥"", ""多哥"", ""委内瑞拉"", ""尼日利亚"", ""尼泊尔"", ""巴西"", ""希腊"", ""波兰"", ""泰国"", ""瑞士"", ""突尼斯"", ""立陶宛"", ""约旦"", ""缅甸"", ""美国"", ""西班牙"", ""阿尔及利亚"", ""阿联酋"", ""马来西亚"", ""马达加斯加""]) & ~(level_2_user_source in [""BitgetSwap"", ""GetDrop第1期- FOMO"", ""GetDrop第2期-UXLINK"", ""invite_code"", ""第10期 - BWB空投末班车""])",2471,2670,-0.27871148459383754
7,19,level_2_user_source,15||17||21||39||40||41||55,==,15,16,,"['GetDrop第1期- FOMO', 'GetDrop第1期- MOEW', 'GetDrop第2期-UXLINK', 'add_mainnet', 'advertising', 'aflink', '第11期 - BWB积分持有者专属福利']","level_2_user_source in [""GetDrop第1期- FOMO"", ""GetDrop第1期- MOEW"", ""GetDrop第2期-UXLINK"", ""add_mainnet"", ""advertising"", ""aflink"", ""第11期 - BWB积分持有者专属福利""]","country in [""乌干达"", ""伊拉克"", ""伊朗"", ""利比亚"", ""加纳"", ""卢旺达"", ""印度"", ""印度尼西亚"", ""古巴"", ""哈萨克斯坦"", ""喀麦隆"", ""埃及"", ""墨西哥"", ""多哥"", ""委内瑞拉"", ""尼日利亚"", ""尼泊尔"", ""巴西"", ""希腊"", ""波兰"", ""泰国"", ""瑞士"", ""突尼斯"", ""立陶宛"", ""约旦"", ""缅甸"", ""美国"", ""西班牙"", ""阿尔及利亚"", ""阿联酋"", ""马来西亚"", ""马达加斯加""] & future_total_trade <= 169.94259000000002 & future_total_trade <= 1.0000000180025095e-35",3192,2401,1.107843137254902
8.0,,,,,,,0.4639824666686001,,,"country in [""乌干达"", ""伊拉克"", ""伊朗"", ""利比亚"", ""加纳"", ""卢旺达"", ""印度"", ""印度尼西亚"", ""古巴"", ""哈萨克斯坦"", ""喀麦隆"", ""埃及"", ""墨西哥"", ""多哥"", ""委内瑞拉"", ""尼日利亚"", ""尼泊尔"", ""巴西"", ""希腊"", ""波兰"", ""泰国"", ""瑞士"", ""突尼斯"", ""立陶宛"", ""约旦"", ""缅甸"", ""美国"", ""西班牙"", ""阿尔及利亚"", ""阿联酋"", ""马来西亚"", ""马达加斯加""] & future_total_trade <= 169.94259000000002 & ~(future_total_trade <= 1.0000000180025095e-35)",1,27,-0.036414565826330535
11,2,os,0,==,23,24,,['android'],"os in [""android""]","~(country in [""乌干达"", ""伊拉克"", ""伊朗"", ""利比亚"", ""加纳"", ""卢旺达"", ""印度"", ""印度尼西亚"", ""古巴"", ""哈萨克斯坦"", ""喀麦隆"", ""埃及"", ""墨西哥"", ""多哥"", ""委内瑞拉"", ""尼日利亚"", ""尼泊尔"", ""巴西"", ""希腊"", ""波兰"", ""泰国"", ""瑞士"", ""突尼斯"", ""立陶宛"", ""约旦"", ""缅甸"", ""美国"", ""西班牙"", ""阿尔及利亚"", ""阿联酋"", ""马来西亚"", ""马达加斯加""]) & level_2_user_source in [""BitgetSwap"", ""GetDrop第1期- FOMO"", ""GetDrop第2期-UXLINK"", ""invite_code"", ""第10期 - BWB空投末班车""] & total_trade <= 14.407866",135,62,0.10224089635854341
