node_index,split_feature_indx,split_feature,threshold,decision_type,left_child,right_child,leaf_value,thres_vis,condition,conditions,2024-05-11,2024-05-12,ratio
0,1,chain_pair,71,==,1,2,,['eth-trx'],"chain_pair in [""eth-trx""]",,6714168.419786921,4417793.3560088,1.0
1,10,new_swap,1,==,3,4,,['old'],"new_swap in [""old""]","chain_pair in [""eth-trx""]",1524284.9579899998,732451.930364,0.34481868407124794
2,1,chain_pair,51||57||108||143||145||146,==,5,6,,"['bnb-trx', 'btc-trx', 'matic-trx', 'trx-bnb', 'trx-eth', 'trx-matic']","chain_pair in [""bnb-trx"", ""btc-trx"", ""matic-trx"", ""trx-bnb"", ""trx-eth"", ""trx-matic""]","~(chain_pair in [""eth-trx""])",5189883.46179692,3685341.4256448,0.6551813159287514
3,9,dt,0,==,7,8,,['2024-05-11'],"dt in [""2024-05-11""]","chain_pair in [""eth-trx""] & new_swap in [""old""]",441695.04359899997,672037.161767,-0.10030683654482324
4.0,,,,,,,9115.639289620392,,,"chain_pair in [""eth-trx""] & ~(new_swap in [""old""])",1082589.9143909998,60414.768596999995,0.4451255206160712
5,0,coin_pair,6374||6716,==,11,12,,"['usdt-eth', 'usdt-usdt']","coin_pair in [""usdt-eth"", ""usdt-usdt""]","~(chain_pair in [""eth-trx""]) & chain_pair in [""bnb-trx"", ""btc-trx"", ""matic-trx"", ""trx-bnb"", ""trx-eth"", ""trx-matic""]",757161.55509471,476459.88496393996,0.12223685693091632
6,1,chain_pair,6||13||28||44||50||55||66||70||74||102||107||117,==,13,14,,"['arbitrum-eth', 'arbitrum-trx', 'base-eth', 'bnb-eth', 'bnb-sol', 'btc-eth', 'eth-eth', 'eth-sol', 'ftm-ftm', 'matic-eth', 'matic-sol', 'opbnb-bnb']","chain_pair in [""arbitrum-eth"", ""arbitrum-trx"", ""base-eth"", ""bnb-eth"", ""bnb-sol"", ""btc-eth"", ""eth-eth"", ""eth-sol"", ""ftm-ftm"", ""matic-eth"", ""matic-sol"", ""opbnb-bnb""]","~(chain_pair in [""eth-trx""]) & ~(chain_pair in [""bnb-trx"", ""btc-trx"", ""matic-trx"", ""trx-bnb"", ""trx-eth"", ""trx-matic""])",4432721.90670221,3208881.54068086,0.5329444589978352
7.0,,,,,,,2426.54270943384,,,"chain_pair in [""eth-trx""] & new_swap in [""old""] & dt in [""2024-05-11""]",441695.04359899997,0.0,0.19234446957993842
8.0,,,,,,,3843.2338497553046,,,"chain_pair in [""eth-trx""] & new_swap in [""old""] & ~(dt in [""2024-05-11""])",0.0,672037.161767,-0.29265130612476165
11,10,new_swap,1,==,23,24,,['old'],"new_swap in [""old""]","~(chain_pair in [""eth-trx""]) & chain_pair in [""bnb-trx"", ""btc-trx"", ""matic-trx"", ""trx-bnb"", ""trx-eth"", ""trx-matic""] & coin_pair in [""usdt-eth"", ""usdt-usdt""]",546932.78190654,399686.10259294,0.0641213544059923
12,9,dt,0,==,25,26,,['2024-05-11'],"dt in [""2024-05-11""]","~(chain_pair in [""eth-trx""]) & chain_pair in [""bnb-trx"", ""btc-trx"", ""matic-trx"", ""trx-bnb"", ""trx-eth"", ""trx-matic""] & ~(coin_pair in [""usdt-eth"", ""usdt-usdt""])",210228.77318817002,76773.78237100001,0.05811550252492405
13,7,imei_level_3_user_source,310||491,==,27,28,,"['blast', 'ftm']","imei_level_3_user_source in [""blast"", ""ftm""]","~(chain_pair in [""eth-trx""]) & ~(chain_pair in [""bnb-trx"", ""btc-trx"", ""matic-trx"", ""trx-bnb"", ""trx-eth"", ""trx-matic""]) & chain_pair in [""arbitrum-eth"", ""arbitrum-trx"", ""base-eth"", ""bnb-eth"", ""bnb-sol"", ""btc-eth"", ""eth-eth"", ""eth-sol"", ""ftm-ftm"", ""matic-eth"", ""matic-sol"", ""opbnb-bnb""]",1710585.08593039,636102.12363337,0.4679039496837343
